Format,2.0A,
Memory Length,5000,
Trigger Level,336mV,
Source,CH1,
Label,ENAA,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-02,
Vertical Position,-5.600E-02,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,-2.500E-04,
Horizontal Mode,Main,
Sampling Period,4.000E-08,
Firmware,V1.13,
Time,06-Dec-23 23:57:55,
Mode,Detail,
Waveform Data,,
-3.383600e-04,0.080000,
-3.383200e-04,0.080000,
-3.382800e-04,0.080000,
-3.382400e-04,0.080000,
-3.382000e-04,0.080000,
-3.381600e-04,0.080000,
-3.381200e-04,0.080000,
-3.380800e-04,0.080000,
-3.380400e-04,0.080000,
-3.380000e-04,0.080000,
-3.379600e-04,0.080000,
-3.379200e-04,0.080000,
-3.378800e-04,0.080000,
-3.378400e-04,0.080000,
-3.378000e-04,0.080000,
-3.377600e-04,0.080000,
-3.377200e-04,0.080000,
-3.376800e-04,0.080000,
-3.376400e-04,0.080000,
-3.376000e-04,0.080000,
-3.375600e-04,0.080000,
-3.375200e-04,0.080000,
-3.374800e-04,0.080000,
-3.374400e-04,0.080000,
-3.374000e-04,0.080000,
-3.373600e-04,0.080000,
-3.373200e-04,0.080000,
-3.372800e-04,0.080000,
-3.372400e-04,0.080000,
-3.372000e-04,0.080000,
-3.371600e-04,0.080000,
-3.371200e-04,0.080000,
-3.370800e-04,0.080000,
-3.370400e-04,0.080000,
-3.370000e-04,0.080000,
-3.369600e-04,0.080000,
-3.369200e-04,0.080000,
-3.368800e-04,0.080000,
-3.368400e-04,0.080000,
-3.368000e-04,0.080000,
-3.367600e-04,0.080000,
-3.367200e-04,0.078000,
-3.366800e-04,0.080000,
-3.366400e-04,0.078000,
-3.366000e-04,0.080000,
-3.365600e-04,0.078000,
-3.365200e-04,0.078000,
-3.364800e-04,0.078000,
-3.364400e-04,0.080000,
-3.364000e-04,0.078000,
-3.363600e-04,0.080000,
-3.363200e-04,0.078000,
-3.362800e-04,0.080000,
-3.362400e-04,0.078000,
-3.362000e-04,0.078000,
-3.361600e-04,0.078000,
-3.361200e-04,0.078000,
-3.360800e-04,0.078000,
-3.360400e-04,0.078000,
-3.360000e-04,0.078000,
-3.359600e-04,0.078000,
-3.359200e-04,0.080000,
-3.358800e-04,0.078000,
-3.358400e-04,0.078000,
-3.358000e-04,0.078000,
-3.357600e-04,0.078000,
-3.357200e-04,0.080000,
-3.356800e-04,0.080000,
-3.356400e-04,0.080000,
-3.356000e-04,0.078000,
-3.355600e-04,0.080000,
-3.355200e-04,0.078000,
-3.354800e-04,0.078000,
-3.354400e-04,0.078000,
-3.354000e-04,0.078000,
-3.353600e-04,0.078000,
-3.353200e-04,0.078000,
-3.352800e-04,0.078000,
-3.352400e-04,0.078000,
-3.352000e-04,0.078000,
-3.351600e-04,0.078000,
-3.351200e-04,0.078000,
-3.350800e-04,0.078000,
-3.350400e-04,0.078000,
-3.350000e-04,0.078000,
-3.349600e-04,0.078000,
-3.349200e-04,0.080000,
-3.348800e-04,0.078000,
-3.348400e-04,0.078000,
-3.348000e-04,0.078000,
-3.347600e-04,0.078000,
-3.347200e-04,0.078000,
-3.346800e-04,0.078000,
-3.346400e-04,0.078000,
-3.346000e-04,0.078000,
-3.345600e-04,0.078000,
-3.345200e-04,0.078000,
-3.344800e-04,0.078000,
-3.344400e-04,0.078000,
-3.344000e-04,0.078000,
-3.343600e-04,0.078000,
-3.343200e-04,0.078000,
-3.342800e-04,0.078000,
-3.342400e-04,0.078000,
-3.342000e-04,0.078000,
-3.341600e-04,0.078000,
-3.341200e-04,0.078000,
-3.340800e-04,0.078000,
-3.340400e-04,0.078000,
-3.340000e-04,0.078000,
-3.339600e-04,0.078000,
-3.339200e-04,0.078000,
-3.338800e-04,0.078000,
-3.338400e-04,0.078000,
-3.338000e-04,0.078000,
-3.337600e-04,0.078000,
-3.337200e-04,0.078000,
-3.336800e-04,0.078000,
-3.336400e-04,0.078000,
-3.336000e-04,0.078000,
-3.335600e-04,0.078000,
-3.335200e-04,0.078000,
-3.334800e-04,0.078000,
-3.334400e-04,0.078000,
-3.334000e-04,0.078000,
-3.333600e-04,0.078000,
-3.333200e-04,0.078000,
-3.332800e-04,0.078000,
-3.332400e-04,0.078000,
-3.332000e-04,0.078000,
-3.331600e-04,0.078000,
-3.331200e-04,0.078000,
-3.330800e-04,0.078000,
-3.330400e-04,0.078000,
-3.330000e-04,0.078000,
-3.329600e-04,0.078000,
-3.329200e-04,0.078000,
-3.328800e-04,0.078000,
-3.328400e-04,0.078000,
-3.328000e-04,0.078000,
-3.327600e-04,0.078000,
-3.327200e-04,0.078000,
-3.326800e-04,0.078000,
-3.326400e-04,0.078000,
-3.326000e-04,0.078000,
-3.325600e-04,0.078000,
-3.325200e-04,0.078000,
-3.324800e-04,0.078000,
-3.324400e-04,0.078000,
-3.324000e-04,0.078000,
-3.323600e-04,0.078000,
-3.323200e-04,0.078000,
-3.322800e-04,0.078000,
-3.322400e-04,0.078000,
-3.322000e-04,0.078000,
-3.321600e-04,0.078000,
-3.321200e-04,0.078000,
-3.320800e-04,0.078000,
-3.320400e-04,0.078000,
-3.320000e-04,0.078000,
-3.319600e-04,0.078000,
-3.319200e-04,0.078000,
-3.318800e-04,0.078000,
-3.318400e-04,0.078000,
-3.318000e-04,0.078000,
-3.317600e-04,0.078000,
-3.317200e-04,0.078000,
-3.316800e-04,0.078000,
-3.316400e-04,0.078000,
-3.316000e-04,0.078000,
-3.315600e-04,0.078000,
-3.315200e-04,0.078000,
-3.314800e-04,0.078000,
-3.314400e-04,0.078000,
-3.314000e-04,0.078000,
-3.313600e-04,0.078000,
-3.313200e-04,0.078000,
-3.312800e-04,0.078000,
-3.312400e-04,0.078000,
-3.312000e-04,0.078000,
-3.311600e-04,0.078000,
-3.311200e-04,0.078000,
-3.310800e-04,0.078000,
-3.310400e-04,0.078000,
-3.310000e-04,0.078000,
-3.309600e-04,0.078000,
-3.309200e-04,0.078000,
-3.308800e-04,0.078000,
-3.308400e-04,0.078000,
-3.308000e-04,0.078000,
-3.307600e-04,0.078000,
-3.307200e-04,0.078000,
-3.306800e-04,0.078000,
-3.306400e-04,0.078000,
-3.306000e-04,0.078000,
-3.305600e-04,0.078000,
-3.305200e-04,0.078000,
-3.304800e-04,0.078000,
-3.304400e-04,0.078000,
-3.304000e-04,0.078000,
-3.303600e-04,0.078000,
-3.303200e-04,0.078000,
-3.302800e-04,0.078000,
-3.302400e-04,0.078000,
-3.302000e-04,0.078000,
-3.301600e-04,0.078000,
-3.301200e-04,0.078000,
-3.300800e-04,0.078000,
-3.300400e-04,0.078000,
-3.300000e-04,0.078000,
-3.299600e-04,0.078000,
-3.299200e-04,0.078000,
-3.298800e-04,0.078000,
-3.298400e-04,0.078000,
-3.298000e-04,0.078000,
-3.297600e-04,0.078000,
-3.297200e-04,0.078000,
-3.296800e-04,0.078000,
-3.296400e-04,0.078000,
-3.296000e-04,0.078000,
-3.295600e-04,0.078000,
-3.295200e-04,0.078000,
-3.294800e-04,0.078000,
-3.294400e-04,0.078000,
-3.294000e-04,0.078000,
-3.293600e-04,0.078000,
-3.293200e-04,0.078000,
-3.292800e-04,0.078000,
-3.292400e-04,0.078000,
-3.292000e-04,0.078000,
-3.291600e-04,0.078000,
-3.291200e-04,0.078000,
-3.290800e-04,0.078000,
-3.290400e-04,0.078000,
-3.290000e-04,0.078000,
-3.289600e-04,0.078000,
-3.289200e-04,0.078000,
-3.288800e-04,0.078000,
-3.288400e-04,0.078000,
-3.288000e-04,0.078000,
-3.287600e-04,0.078000,
-3.287200e-04,0.078000,
-3.286800e-04,0.078000,
-3.286400e-04,0.078000,
-3.286000e-04,0.078000,
-3.285600e-04,0.078000,
-3.285200e-04,0.078000,
-3.284800e-04,0.078000,
-3.284400e-04,0.076000,
-3.284000e-04,0.078000,
-3.283600e-04,0.076000,
-3.283200e-04,0.076000,
-3.282800e-04,0.078000,
-3.282400e-04,0.078000,
-3.282000e-04,0.078000,
-3.281600e-04,0.076000,
-3.281200e-04,0.076000,
-3.280800e-04,0.078000,
-3.280400e-04,0.078000,
-3.280000e-04,0.076000,
-3.279600e-04,0.076000,
-3.279200e-04,0.078000,
-3.278800e-04,0.078000,
-3.278400e-04,0.076000,
-3.278000e-04,0.076000,
-3.277600e-04,0.078000,
-3.277200e-04,0.078000,
-3.276800e-04,0.078000,
-3.276400e-04,0.078000,
-3.276000e-04,0.078000,
-3.275600e-04,0.078000,
-3.275200e-04,0.078000,
-3.274800e-04,0.078000,
-3.274400e-04,0.078000,
-3.274000e-04,0.078000,
-3.273600e-04,0.078000,
-3.273200e-04,0.078000,
-3.272800e-04,0.078000,
-3.272400e-04,0.078000,
-3.272000e-04,0.078000,
-3.271600e-04,0.078000,
-3.271200e-04,0.078000,
-3.270800e-04,0.078000,
-3.270400e-04,0.078000,
-3.270000e-04,0.078000,
-3.269600e-04,0.078000,
-3.269200e-04,0.078000,
-3.268800e-04,0.076000,
-3.268400e-04,0.078000,
-3.268000e-04,0.078000,
-3.267600e-04,0.078000,
-3.267200e-04,0.078000,
-3.266800e-04,0.078000,
-3.266400e-04,0.078000,
-3.266000e-04,0.078000,
-3.265600e-04,0.076000,
-3.265200e-04,0.076000,
-3.264800e-04,0.078000,
-3.264400e-04,0.076000,
-3.264000e-04,0.076000,
-3.263600e-04,0.076000,
-3.263200e-04,0.076000,
-3.262800e-04,0.076000,
-3.262400e-04,0.076000,
-3.262000e-04,0.076000,
-3.261600e-04,0.076000,
-3.261200e-04,0.076000,
-3.260800e-04,0.078000,
-3.260400e-04,0.076000,
-3.260000e-04,0.076000,
-3.259600e-04,0.078000,
-3.259200e-04,0.076000,
-3.258800e-04,0.078000,
-3.258400e-04,0.076000,
-3.258000e-04,0.076000,
-3.257600e-04,0.076000,
-3.257200e-04,0.076000,
-3.256800e-04,0.076000,
-3.256400e-04,0.076000,
-3.256000e-04,0.076000,
-3.255600e-04,0.076000,
-3.255200e-04,0.076000,
-3.254800e-04,0.076000,
-3.254400e-04,0.076000,
-3.254000e-04,0.076000,
-3.253600e-04,0.076000,
-3.253200e-04,0.076000,
-3.252800e-04,0.076000,
-3.252400e-04,0.076000,
-3.252000e-04,0.076000,
-3.251600e-04,0.076000,
-3.251200e-04,0.076000,
-3.250800e-04,0.076000,
-3.250400e-04,0.076000,
-3.250000e-04,0.076000,
-3.249600e-04,0.076000,
-3.249200e-04,0.076000,
-3.248800e-04,0.076000,
-3.248400e-04,0.076000,
-3.248000e-04,0.076000,
-3.247600e-04,0.076000,
-3.247200e-04,0.076000,
-3.246800e-04,0.076000,
-3.246400e-04,0.076000,
-3.246000e-04,0.076000,
-3.245600e-04,0.076000,
-3.245200e-04,0.076000,
-3.244800e-04,0.076000,
-3.244400e-04,0.076000,
-3.244000e-04,0.076000,
-3.243600e-04,0.076000,
-3.243200e-04,0.076000,
-3.242800e-04,0.076000,
-3.242400e-04,0.076000,
-3.242000e-04,0.076000,
-3.241600e-04,0.076000,
-3.241200e-04,0.076000,
-3.240800e-04,0.076000,
-3.240400e-04,0.076000,
-3.240000e-04,0.076000,
-3.239600e-04,0.076000,
-3.239200e-04,0.076000,
-3.238800e-04,0.076000,
-3.238400e-04,0.076000,
-3.238000e-04,0.076000,
-3.237600e-04,0.076000,
-3.237200e-04,0.076000,
-3.236800e-04,0.076000,
-3.236400e-04,0.076000,
-3.236000e-04,0.076000,
-3.235600e-04,0.076000,
-3.235200e-04,0.076000,
-3.234800e-04,0.076000,
-3.234400e-04,0.076000,
-3.234000e-04,0.076000,
-3.233600e-04,0.076000,
-3.233200e-04,0.076000,
-3.232800e-04,0.076000,
-3.232400e-04,0.076000,
-3.232000e-04,0.076000,
-3.231600e-04,0.076000,
-3.231200e-04,0.076000,
-3.230800e-04,0.076000,
-3.230400e-04,0.076000,
-3.230000e-04,0.076000,
-3.229600e-04,0.076000,
-3.229200e-04,0.076000,
-3.228800e-04,0.076000,
-3.228400e-04,0.076000,
-3.228000e-04,0.076000,
-3.227600e-04,0.076000,
-3.227200e-04,0.076000,
-3.226800e-04,0.076000,
-3.226400e-04,0.076000,
-3.226000e-04,0.076000,
-3.225600e-04,0.076000,
-3.225200e-04,0.076000,
-3.224800e-04,0.076000,
-3.224400e-04,0.076000,
-3.224000e-04,0.076000,
-3.223600e-04,0.076000,
-3.223200e-04,0.076000,
-3.222800e-04,0.076000,
-3.222400e-04,0.078000,
-3.222000e-04,0.076000,
-3.221600e-04,0.076000,
-3.221200e-04,0.076000,
-3.220800e-04,0.076000,
-3.220400e-04,0.076000,
