Vernier Format 2
Lab_RT.cmbl 17/11/2023 16:42:19 ,
Latest
Time	Potential 1	Potential 2	Potential 3	Potential 4	R1	R2	R3	Temp	R1/R10	R2/R20	R3/R30
t	Pot 1	Pot 2	Pot 3	Pot 4	CC	CC	CC	CC	CC	CC	CC
s	V	V	V	V	Ω	Ω	Ω	K			
1430	0,702076	0,023199	1,06716	1,54457	70,2076	2,3199	1,06716	154,457	0,522253630088	0,370118059987	0,458008583691
1440	0,693529	0,021978	1,05617	1,53236	69,3529	2,1978	1,05617	153,236	0,515895768865	0,350638162093	0,453291845494
1450	0,684982	0,021978	1,04396	1,52015	68,4982	2,1978	1,04396	152,015	0,509537907641	0,350638162093	0,448051502146
1460	0,676435	0,021978	1,03297	1,50794	67,6435	2,1978	1,03297	150,794	0,503180046418	0,350638162093	0,443334763948
1470	0,667888	0,021978	1,02198	1,49573	66,7888	2,1978	1,02198	149,573	0,496822185194	0,350638162093	0,438618025751
1480	0,659341	0,020757	1,01099	1,48474	65,9341	2,0757	1,01099	148,474	0,49046432397	0,331158264199	0,433901287554
1490	0,652015	0,020757	1	1,47253	65,2015	2,0757	1	147,253	0,485014728636	0,331158264199	0,429184549356
1500	0,644689	0,020757	0,989011	1,46032	64,4689	2,0757	0,989011	146,032	0,479565133302	0,331158264199	0,424468240343
1510	0,636142	0,019536	0,979243	1,44933	63,6142	1,9536	0,979243	144,933	0,473207272078	0,311678366305	0,420275965665
1520	0,628816	0,020757	0,968254	1,43956	62,8816	2,0757	0,968254	143,956	0,467757676744	0,331158264199	0,415559656652
1530	0,62149	0,019536	0,958486	1,42857	62,149	1,9536	0,958486	142,857	0,462308081409	0,311678366305	0,411367381974
1540	0,614164	0,019536	0,949939	1,41758	61,4164	1,9536	0,949939	141,758	0,456858486075	0,311678366305	0,407699141631
1550	0,608059	0,019536	0,940171	1,40781	60,8059	1,9536	0,940171	140,781	0,452317156629	0,311678366305	0,403506866953
1560	0,600733	0,018315	0,930403	1,39805	60,0733	1,8315	0,930403	139,805	0,446867561295	0,292198468411	0,399314592275
1570	0,594628	0,018315	0,921856	1,38828	59,4628	1,8315	0,921856	138,828	0,44232623185	0,292198468411	0,395646351931
1580	0,588523	0,018315	0,913309	1,37973	58,8523	1,8315	0,913309	137,973	0,437784902404	0,292198468411	0,391978111588
1590	0,582418	0,018315	0,903541	1,36996	58,2418	1,8315	0,903541	136,996	0,433243572959	0,292198468411	0,38778583691
1600	0,576313	0,018315	0,894994	1,3602	57,6313	1,8315	0,894994	136,02	0,428702243513	0,292198468411	0,384117596567
1610	0,570208	0,018315	0,886447	1,35287	57,0208	1,8315	0,886447	135,287	0,424160914068	0,292198468411	0,380449356223
1620	0,564103	0,017094	0,8779	1,3431	56,4103	1,7094	0,8779	134,31	0,419619584623	0,272718570517	0,37678111588
1630	0,559219	0,017094	0,869353	1,33578	55,9219	1,7094	0,869353	133,578	0,415986521066	0,272718570517	0,373112875536
1640	0,554335	0,017094	0,862027	1,32723	55,4335	1,7094	0,862027	132,723	0,41235345751	0,272718570517	0,369968669528
1650	0,54823	0,017094	0,85348	1,3199	54,823	1,7094	0,85348	131,99	0,407812128065	0,272718570517	0,366300429185
1660	0,543346	0,015873	0,846154	1,31136	54,3346	1,5873	0,846154	131,136	0,404179064508	0,253238672623	0,363156223176
1670	0,538462	0,015873	0,838828	1,30403	53,8462	1,5873	0,838828	130,403	0,400546000952	0,253238672623	0,360012017167
1680	0,533578	0,015873	0,831502	1,2967	53,3578	1,5873	0,831502	129,67	0,396912937396	0,253238672623	0,356867811159
1690	0,528694	0,015873	0,824176	1,28938	52,8694	1,5873	0,824176	128,938	0,39327987384	0,253238672623	0,35372360515
1700	0,52381	0,015873	0,818071	1,28205	52,381	1,5873	0,818071	128,205	0,389646810283	0,253238672623	0,351103433476
1710	0,520147	0,015873	0,810745	1,2735	52,0147	1,5873	0,810745	127,35	0,386922012616	0,253238672623	0,347959227468
1720	0,515263	0,015873	0,80464	1,2674	51,5263	1,5873	0,80464	126,74	0,38328894906	0,253238672623	0,345339055794
1730	0,5116	0,014652	0,798535	1,26129	51,16	1,4652	0,798535	126,129	0,380564151393	0,233758774729	0,34271888412
1740	0,507937	0,014652	0,79243	1,25519	50,7937	1,4652	0,79243	125,519	0,377839353725	0,233758774729	0,340098712446
1750	0,503053	0,014652	0,785104	1,25031	50,3053	1,4652	0,785104	125,031	0,374206290169	0,233758774729	0,336954506438
1760	0,499389	0,014652	0,778999	1,2442	49,9389	1,4652	0,778999	124,42	0,371480748631	0,233758774729	0,334334334764
1770	0,495726	0,014652	0,772894	1,2381	49,5726	1,4652	0,772894	123,81	0,368755950964	0,233758774729	0,33171416309
1780	0,492063	0,014652	0,76801	1,23199	49,2063	1,4652	0,76801	123,199	0,366031153297	0,233758774729	0,329618025751
1790	0,4884	0,014652	0,761905	1,22711	48,84	1,4652	0,761905	122,711	0,36330635563	0,233758774729	0,326997854077
1800	0,484737	0,014652	0,757021	1,22222	48,4737	1,4652	0,757021	122,222	0,360581557962	0,233758774729	0,324901716738
1810	0,482295	0,013431	0,752137	1,21734	48,2295	1,3431	0,752137	121,734	0,358765026184	0,214278876835	0,322805579399
1820	0,478632	0,013431	0,746032	1,21245	47,8632	1,3431	0,746032	121,245	0,356040228517	0,214278876835	0,320185407725
1830	0,47619	0,013431	0,741148	1,20635	47,619	1,3431	0,741148	120,635	0,354223696739	0,214278876835	0,318089270386
1840	0,472527	0,013431	0,735043	1,20269	47,2527	1,3431	0,735043	120,269	0,351498899072	0,214278876835	0,315469098712
1850	0,470085	0,013431	0,73138	1,19658	47,0085	1,3431	0,73138	119,658	0,349682367294	0,214278876835	0,313896995708
1860	0,466422	0,013431	0,726496	1,1917	46,6422	1,3431	0,726496	119,17	0,346957569626	0,214278876835	0,311800858369
1870	0,46398	0,013431	0,721612	1,18803	46,398	1,3431	0,721612	118,803	0,345141037848	0,214278876835	0,30970472103
1880	0,461538	0,013431	0,717949	1,18437	46,1538	1,3431	0,717949	118,437	0,34332450607	0,214278876835	0,308132618026
1890	0,457875	0,013431	0,713065	1,17949	45,7875	1,3431	0,713065	117,949	0,340599708403	0,214278876835	0,306036480687
1900	0,455433	0,01221	0,708181	1,1746	45,5433	1,221	0,708181	117,46	0,338783176625	0,194798978941	0,303940343348
1910	0,452991	0,01221	0,704518	1,17216	45,2991	1,221	0,704518	117,216	0,336966644846	0,194798978941	0,302368240343
1920	0,450549	0,01221	0,700855	1,16728	45,0549	1,221	0,700855	116,728	0,335150113068	0,194798978941	0,300796137339
1930	0,448107	0,01221	0,695971	1,16361	44,8107	1,221	0,695971	116,361	0,33333358129	0,194798978941	0,2987
1940	0,446886	0,01221	0,692308	1,15995	44,6886	1,221	0,692308	115,995	0,332425315401	0,194798978941	0,297127896996
1950	0,444444	0,01221	0,688645	1,15629	44,4444	1,221	0,688645	115,629	0,330608783623	0,194798978941	0,295555793991
1960	0,442002	0,01221	0,684982	1,15263	44,2002	1,221	0,684982	115,263	0,328792251845	0,194798978941	0,293983690987
1970	0,43956	0,01221	0,681319	1,14896	43,956	1,221	0,681319	114,896	0,326975720067	0,194798978941	0,292411587983
